First Author,PubMed ID,Study accession,Publication date,Journal,Title,Trait(s),Reported trait
Kurilshikov A,33462485,GCST90017015,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Holdemania id.2157)
Kurilshikov A,33462485,GCST90017016,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Howardella id.2000)
Kurilshikov A,33462485,GCST90017017,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Hungatella id.11306)
Kurilshikov A,33462485,GCST90017018,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Intestinibacter id.11345)
Kurilshikov A,33462485,GCST90017019,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Intestinimonas id.2062)
Kurilshikov A,33462485,GCST90017020,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Lachnoclostridium id.11308)
Kurilshikov A,33462485,GCST90017021,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Lachnospiraceae FCS020 group id.11314)
Kurilshikov A,33462485,GCST90017022,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Lachnospiraceae NC2004 group id.11316)
Kurilshikov A,33462485,GCST90017023,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Lachnospiraceae ND3007 group id.11317)
Kurilshikov A,33462485,GCST90017024,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Lachnospiraceae NK4A136 group id.11319)
Kurilshikov A,33462485,GCST90017025,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Lachnospiraceae UCG001 id.11321)
Kurilshikov A,33462485,GCST90017026,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Lachnospiraceae UCG004 id.11324)
Kurilshikov A,33462485,GCST90017027,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Lachnospiraceae UCG008 id.11328)
Kurilshikov A,33462485,GCST90017028,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Lachnospiraceae UCG010 id.11330)
Kurilshikov A,33462485,GCST90017029,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Lachnospira id.2004)
Kurilshikov A,33462485,GCST90017030,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Lactobacillus id.1837)
Kurilshikov A,33462485,GCST90017031,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Lactococcus id.1851)
Kurilshikov A,33462485,GCST90017032,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Marvinbryantia id.2005)
Kurilshikov A,33462485,GCST90017033,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Methanobrevibacter id.123)
Kurilshikov A,33462485,GCST90017034,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Odoribacter id.952)
Kurilshikov A,33462485,GCST90017035,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Olsenella id.822)
Kurilshikov A,33462485,GCST90017036,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Oscillibacter id.2063)
Kurilshikov A,33462485,GCST90017037,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Oscillospira id.2064)
Kurilshikov A,33462485,GCST90017038,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Oxalobacter id.2978)
Kurilshikov A,33462485,GCST90017039,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Parabacteroides id.954)
Kurilshikov A,33462485,GCST90017040,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Paraprevotella id.962)
Kurilshikov A,33462485,GCST90017041,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Parasutterella id.2892)
Kurilshikov A,33462485,GCST90017042,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Peptococcus id.2037)
Kurilshikov A,33462485,GCST90017043,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Phascolarctobacterium id.2168)
Kurilshikov A,33462485,GCST90017044,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Prevotella7 id.11182)
Kurilshikov A,33462485,GCST90017045,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Prevotella9 id.11183)
Kurilshikov A,33462485,GCST90017046,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Rikenellaceae RC9 gut group id.11191)
Kurilshikov A,33462485,GCST90017047,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Romboutsia id.11347)
Kurilshikov A,33462485,GCST90017048,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Roseburia id.2012)
Kurilshikov A,33462485,GCST90017049,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Ruminiclostridium5 id.11355)
Kurilshikov A,33462485,GCST90017050,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Ruminiclostridium6 id.11356)
Kurilshikov A,33462485,GCST90017051,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Ruminiclostridium9 id.11357)
Kurilshikov A,33462485,GCST90017052,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Ruminococcaceae NK4A214 group id.11358)
Kurilshikov A,33462485,GCST90017053,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Ruminococcaceae UCG002 id.11360)
Kurilshikov A,33462485,GCST90017054,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Ruminococcaceae UCG003 id.11361)
Kurilshikov A,33462485,GCST90017055,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Ruminococcaceae UCG004 id.11362)
Kurilshikov A,33462485,GCST90017056,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Ruminococcaceae UCG005 id.11363)
Kurilshikov A,33462485,GCST90017057,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Ruminococcaceae UCG009 id.11366)
Kurilshikov A,33462485,GCST90016908,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (class Actinobacteria id.419)
Kurilshikov A,33462485,GCST90016909,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (class Alphaproteobacteria id.2379)
Kurilshikov A,33462485,GCST90016910,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (class Bacilli id.1673)
Kurilshikov A,33462485,GCST90016911,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (class Bacteroidia id.912)
Kurilshikov A,33462485,GCST90016912,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (class Betaproteobacteria id.2867)
Kurilshikov A,33462485,GCST90016913,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (class Clostridia id.1859)
Kurilshikov A,33462485,GCST90016914,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (class Coriobacteriia id.809)
Kurilshikov A,33462485,GCST90016915,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (class Deltaproteobacteria id.3087)
Kurilshikov A,33462485,GCST90016916,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (class Erysipelotrichia id.2147)
Kurilshikov A,33462485,GCST90016917,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (class Gammaproteobacteria id.3303)
Kurilshikov A,33462485,GCST90016918,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (class Lentisphaeria id.2250)
Kurilshikov A,33462485,GCST90016919,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (class Melainabacteria id.1589)
Kurilshikov A,33462485,GCST90016920,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (class Methanobacteria id.119)
Kurilshikov A,33462485,GCST90016921,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (class Mollicutes id.3920)
Kurilshikov A,33462485,GCST90016922,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (class Negativicutes id.2164)
Kurilshikov A,33462485,GCST90016923,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (class Verrucomicrobiae id.4029)
Kurilshikov A,33462485,GCST90016924,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Acidaminococcaceae id.2166)
Kurilshikov A,33462485,GCST90016925,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Actinomycetaceae id.421)
Kurilshikov A,33462485,GCST90016926,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Alcaligenaceae id.2875)
Kurilshikov A,33462485,GCST90016927,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Bacteroidaceae id.917)
Kurilshikov A,33462485,GCST90016928,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Bacteroidales S24 7group id.11173)
Kurilshikov A,33462485,GCST90016929,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Bifidobacteriaceae id.433)
Kurilshikov A,33462485,GCST90016930,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Christensenellaceae id.1866)
Kurilshikov A,33462485,GCST90016931,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Clostridiaceae1 id.1869)
Kurilshikov A,33462485,GCST90016932,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Clostridiales vadin BB60 group id.11286)
Kurilshikov A,33462485,GCST90016964,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Alloprevotella id.961)
Kurilshikov A,33462485,GCST90016965,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Anaerofilum id.2053)
Kurilshikov A,33462485,GCST90016966,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Anaerostipes id.1991)
Kurilshikov A,33462485,GCST90016967,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Anaerotruncus id.2054)
Kurilshikov A,33462485,GCST90016968,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Bacteroides id.918)
Kurilshikov A,33462485,GCST90016969,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Barnesiella id.944)
Kurilshikov A,33462485,GCST90016970,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Bifidobacterium id.436)
Kurilshikov A,33462485,GCST90016971,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Bilophila id.3170)
Kurilshikov A,33462485,GCST90016972,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Blautia id.1992)
Kurilshikov A,33462485,GCST90016973,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Butyricicoccus id.2055)
Kurilshikov A,33462485,GCST90016974,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Butyricimonas id.945)
Kurilshikov A,33462485,GCST90016975,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Butyrivibrio id.1993)
Kurilshikov A,33462485,GCST90016976,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Candidatus Soleaferrea id.11350)
Kurilshikov A,33462485,GCST90016977,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Catenibacterium id.2153)
Kurilshikov A,33462485,GCST90016978,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Christensenellaceae R 7group id.11283)
Kurilshikov A,33462485,GCST90016979,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Clostridium innocuum group id.14397)
Kurilshikov A,33462485,GCST90016980,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Clostridium sensustricto1 id.1873)
Kurilshikov A,33462485,GCST90016981,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Collinsella id.815)
Kurilshikov A,33462485,GCST90016982,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Coprobacter id.949)
Kurilshikov A,33462485,GCST90017102,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (order Methanobacteriales id.120)
Kurilshikov A,33462485,GCST90017103,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (order Mollicutes RF9 id.11579)
Kurilshikov A,33462485,GCST90017104,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (order NB1n id.3953)
Kurilshikov A,33462485,GCST90017105,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (order Pasteurellales id.3688)
Kurilshikov A,33462485,GCST90017106,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (order Rhodospirillales id.2667)
Kurilshikov A,33462485,GCST90017107,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (order Selenomonadales id.2165)
Kurilshikov A,33462485,GCST90017108,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (order Verrucomicrobiales id.4030)
Kurilshikov A,33462485,GCST90017109,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (order Victivallales id.2254)
Kurilshikov A,33462485,GCST90017110,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (phylum Actinobacteria id.400)
Kurilshikov A,33462485,GCST90017111,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (phylum Bacteroidetes id.905)
Kurilshikov A,33462485,GCST90017112,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (phylum Cyanobacteria id.1500)
Kurilshikov A,33462485,GCST90017113,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (phylum Euryarchaeota id.55)
Kurilshikov A,33462485,GCST90017114,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (phylum Firmicutes id.1672)
Kurilshikov A,33462485,GCST90017115,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (phylum Lentisphaerae id.2238)
Kurilshikov A,33462485,GCST90017116,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (phylum Proteobacteria id.2375)
Kurilshikov A,33462485,GCST90017117,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (phylum Tenericutes id.3919)
Kurilshikov A,33462485,GCST90017118,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (phylum Verrucomicrobia id.3982)
Kurilshikov A,33462485,GCST90016933,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Coriobacteriaceae id.811)
Kurilshikov A,33462485,GCST90016934,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Defluviitaleaceae id.1924)
Kurilshikov A,33462485,GCST90016935,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Desulfovibrionaceae id.3169)
Kurilshikov A,33462485,GCST90016936,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Enterobacteriaceae id.3469)
Kurilshikov A,33462485,GCST90016937,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Erysipelotrichaceae id.2149)
Kurilshikov A,33462485,GCST90016938,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Family XI id.1936)
Kurilshikov A,33462485,GCST90016939,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Family XIII id.1957)
Kurilshikov A,33462485,GCST90016940,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Lachnospiraceae id.1987)
Kurilshikov A,33462485,GCST90016941,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Lactobacillaceae id.1836)
Kurilshikov A,33462485,GCST90016942,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Methanobacteriaceae id.121)
Kurilshikov A,33462485,GCST90016943,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Oxalobacteraceae id.2966)
Kurilshikov A,33462485,GCST90016944,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Pasteurellaceae id.3689)
Kurilshikov A,33462485,GCST90016945,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Peptococcaceae id.2024)
Kurilshikov A,33462485,GCST90016946,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Peptostreptococcaceae id.2042)
Kurilshikov A,33462485,GCST90016947,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Porphyromonadaceae id.943)
Kurilshikov A,33462485,GCST90016948,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Prevotellaceae id.960)
Kurilshikov A,33462485,GCST90016949,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Rhodospirillaceae id.2717)
Kurilshikov A,33462485,GCST90016950,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Rikenellaceae id.967)
Kurilshikov A,33462485,GCST90016951,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Ruminococcaceae id.2050)
Kurilshikov A,33462485,GCST90016952,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Streptococcaceae id.1850)
Kurilshikov A,33462485,GCST90017058,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Ruminococcaceae UCG010 id.11367)
Kurilshikov A,33462485,GCST90017059,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Ruminococcaceae UCG011 id.11368)
Kurilshikov A,33462485,GCST90017060,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Ruminococcaceae UCG013 id.11370)
Kurilshikov A,33462485,GCST90017061,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Ruminococcaceae UCG014 id.11371)
Kurilshikov A,33462485,GCST90017062,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Ruminococcus1 id.11373)
Kurilshikov A,33462485,GCST90017088,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Veillonella id.2198)
Kurilshikov A,33462485,GCST90017089,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (genus Victivallis id.2256)
Kurilshikov A,33462485,GCST90017090,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (order Actinomycetales id.420)
Kurilshikov A,33462485,GCST90017091,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (order Bacillales id.1674)
Kurilshikov A,33462485,GCST90017092,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (order Bacteroidales id.913)
Kurilshikov A,33462485,GCST90017093,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (order Bifidobacteriales id.432)
Kurilshikov A,33462485,GCST90017094,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (order Burkholderiales id.2874)
Kurilshikov A,33462485,GCST90017095,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (order Clostridiales id.1863)
Kurilshikov A,33462485,GCST90017096,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (order Coriobacteriales id.810)
Kurilshikov A,33462485,GCST90017097,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (order Desulfovibrionales id.3156)
Kurilshikov A,33462485,GCST90017098,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (order Enterobacteriales id.3468)
Kurilshikov A,33462485,GCST90017099,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (order Erysipelotrichales id.2148)
Kurilshikov A,33462485,GCST90017100,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (order Gastranaerophilales id.1591)
Kurilshikov A,33462485,GCST90016953,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (unknown family id.1000001214)
Kurilshikov A,33462485,GCST90016954,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (unknown family id.1000005471)
Kurilshikov A,33462485,GCST90016955,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (unknown family id.1000006161)
Kurilshikov A,33462485,GCST90016956,44214,Nat Genet,Large-scale association analyses identify host factors influencing human gut microbiome composition.,gut microbiome measurement,Gut microbiota abundance (family Veillonellaceae id.2172)
